date_time,site_name,visibility_m,wind_speed,wind_dir,wave_height,wave_period
2024-02-08 14:30:00,Bouley Bay,6,2,3,1.44,5.2
2024-02-09 09:10:00,St Catherine,4,2,3,1.4,5.75
